model,topology,injection_rate,seed,packet_size,vc_buf_size,routing_function,packet_latency_avg,accepted_flit_rate_avg,hops_avg
lenet,mesh,0.006,1.0,4.0,default,default,42.011,0.0241914,6.01484
lenet,mesh,0.006,2.0,4.0,default,default,44.3389,0.0240313,6.07043
lenet,mesh,0.006,3.0,4.0,default,default,40.0257,0.0239727,5.97009
lenet,mesh,0.006,4.0,4.0,default,default,38.8262,0.0243008,5.97103
lenet,mesh,0.006,5.0,4.0,default,default,41.9399,0.0237266,6.14197
lenet,torus,0.006,1.0,4.0,default,default,45.6269,0.0247246,4.61555
lenet,torus,0.006,2.0,4.0,default,default,43.6443,0.0240469,4.56183
lenet,torus,0.006,3.0,4.0,default,default,39.6148,0.0242891,4.6244
lenet,torus,0.006,4.0,4.0,default,default,37.6781,0.0243086,4.55488
lenet,torus,0.006,5.0,4.0,default,default,39.8985,0.0237891,4.63326
lenet,flatfly,0.006,1.0,4.0,default,default,30.1246,0.0242168,2.40465
lenet,flatfly,0.006,2.0,4.0,default,default,31.7988,0.0240391,2.40377
lenet,flatfly,0.006,3.0,4.0,default,default,27.8732,0.024291,2.39936
lenet,flatfly,0.006,4.0,4.0,default,default,26.7708,0.0243008,2.3756
lenet,flatfly,0.006,5.0,4.0,default,default,28.604,0.0237656,2.38449
vgg,mesh,0.006,1.0,4.0,default,default,28.6566,0.0244199,4.66528
vgg,mesh,0.006,2.0,4.0,default,default,28.3815,0.0240234,4.60318
vgg,mesh,0.006,3.0,4.0,default,default,28.5349,0.0243945,4.63852
vgg,mesh,0.006,4.0,4.0,default,default,28.1424,0.0245352,4.56495
vgg,mesh,0.006,5.0,4.0,default,default,28.1047,0.0238203,4.56119
vgg,torus,0.006,1.0,4.0,default,default,27.8871,0.0244219,3.92743
vgg,torus,0.006,2.0,4.0,default,default,27.5336,0.024,3.86675
vgg,torus,0.006,3.0,4.0,default,default,27.3743,0.0244063,3.84005
vgg,torus,0.006,4.0,4.0,default,default,27.2135,0.0245273,3.81807
vgg,torus,0.006,5.0,4.0,default,default,27.1669,0.0238398,3.8125
vgg,flatfly,0.006,1.0,4.0,default,default,18.8232,0.0244023,2.18127
vgg,flatfly,0.006,2.0,4.0,default,default,18.5691,0.0240234,2.14885
vgg,flatfly,0.006,3.0,4.0,default,default,18.7166,0.0244316,2.16155
vgg,flatfly,0.006,4.0,4.0,default,default,18.5136,0.0245273,2.14555
vgg,flatfly,0.006,5.0,4.0,default,default,18.6312,0.0238652,2.1538
resnet,mesh,0.006,1.0,4.0,default,default,24.8425,0.023957,3.82322
resnet,mesh,0.006,2.0,4.0,default,default,24.5673,0.0238965,3.76813
resnet,mesh,0.006,3.0,4.0,default,default,24.6353,0.0244922,3.76844
resnet,mesh,0.006,4.0,4.0,default,default,24.8257,0.0244629,3.8071
resnet,mesh,0.006,5.0,4.0,default,default,24.6135,0.0239434,3.77632
resnet,torus,0.006,1.0,4.0,default,default,23.8513,0.0239707,3.19896
resnet,torus,0.006,2.0,4.0,default,default,23.5908,0.0238984,3.1659
resnet,torus,0.006,3.0,4.0,default,default,23.7164,0.024502,3.16864
resnet,torus,0.006,4.0,4.0,default,default,23.6401,0.0244414,3.16091
resnet,torus,0.006,5.0,4.0,default,default,23.5958,0.0239473,3.16089
resnet,flatfly,0.006,1.0,4.0,default,default,17.0731,0.0239355,1.86171
resnet,flatfly,0.006,2.0,4.0,default,default,16.8263,0.0239102,1.8452
resnet,flatfly,0.006,3.0,4.0,default,default,16.9087,0.0244902,1.84861
resnet,flatfly,0.006,4.0,4.0,default,default,16.9728,0.0244238,1.84453
resnet,flatfly,0.006,5.0,4.0,default,default,16.9094,0.0239316,1.84271
