topology,injection_rate,seed,packet_size,vc_buf_size,routing_function,trace_file,phase_cycles,metric_parse_ok,exit_code,packet_latency_avg,accepted_flit_rate_avg,hops_avg,cfg_path,log_path
mesh,0.006,1,4,default,default,/home/amirthalingam/edge_cloud_ml/dnn-noc-sim/results/traces/lenet_trace.txt,"80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80",True,255,42.011,0.0241914,6.01484,/home/amirthalingam/edge_cloud_ml/dnn-noc-sim/results/lenet/configs/mesh_rfdefault_vbdefault_ps4_r0p006_s1.cfg,/home/amirthalingam/edge_cloud_ml/dnn-noc-sim/results/lenet/logs/mesh_rfdefault_vbdefault_ps4_r0p006_s1.log
mesh,0.006,2,4,default,default,/home/amirthalingam/edge_cloud_ml/dnn-noc-sim/results/traces/lenet_trace.txt,"80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80",True,255,44.3389,0.0240313,6.07043,/home/amirthalingam/edge_cloud_ml/dnn-noc-sim/results/lenet/configs/mesh_rfdefault_vbdefault_ps4_r0p006_s2.cfg,/home/amirthalingam/edge_cloud_ml/dnn-noc-sim/results/lenet/logs/mesh_rfdefault_vbdefault_ps4_r0p006_s2.log
mesh,0.006,3,4,default,default,/home/amirthalingam/edge_cloud_ml/dnn-noc-sim/results/traces/lenet_trace.txt,"80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80",True,255,40.0257,0.0239727,5.97009,/home/amirthalingam/edge_cloud_ml/dnn-noc-sim/results/lenet/configs/mesh_rfdefault_vbdefault_ps4_r0p006_s3.cfg,/home/amirthalingam/edge_cloud_ml/dnn-noc-sim/results/lenet/logs/mesh_rfdefault_vbdefault_ps4_r0p006_s3.log
mesh,0.006,4,4,default,default,/home/amirthalingam/edge_cloud_ml/dnn-noc-sim/results/traces/lenet_trace.txt,"80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80",True,255,38.8262,0.0243008,5.97103,/home/amirthalingam/edge_cloud_ml/dnn-noc-sim/results/lenet/configs/mesh_rfdefault_vbdefault_ps4_r0p006_s4.cfg,/home/amirthalingam/edge_cloud_ml/dnn-noc-sim/results/lenet/logs/mesh_rfdefault_vbdefault_ps4_r0p006_s4.log
mesh,0.006,5,4,default,default,/home/amirthalingam/edge_cloud_ml/dnn-noc-sim/results/traces/lenet_trace.txt,"80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80",True,255,41.9399,0.0237266,6.14197,/home/amirthalingam/edge_cloud_ml/dnn-noc-sim/results/lenet/configs/mesh_rfdefault_vbdefault_ps4_r0p006_s5.cfg,/home/amirthalingam/edge_cloud_ml/dnn-noc-sim/results/lenet/logs/mesh_rfdefault_vbdefault_ps4_r0p006_s5.log
torus,0.006,1,4,default,default,/home/amirthalingam/edge_cloud_ml/dnn-noc-sim/results/traces/lenet_trace.txt,"80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80",True,255,45.6269,0.0247246,4.61555,/home/amirthalingam/edge_cloud_ml/dnn-noc-sim/results/lenet/configs/torus_rfdefault_vbdefault_ps4_r0p006_s1.cfg,/home/amirthalingam/edge_cloud_ml/dnn-noc-sim/results/lenet/logs/torus_rfdefault_vbdefault_ps4_r0p006_s1.log
torus,0.006,2,4,default,default,/home/amirthalingam/edge_cloud_ml/dnn-noc-sim/results/traces/lenet_trace.txt,"80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80",True,255,43.6443,0.0240469,4.56183,/home/amirthalingam/edge_cloud_ml/dnn-noc-sim/results/lenet/configs/torus_rfdefault_vbdefault_ps4_r0p006_s2.cfg,/home/amirthalingam/edge_cloud_ml/dnn-noc-sim/results/lenet/logs/torus_rfdefault_vbdefault_ps4_r0p006_s2.log
torus,0.006,3,4,default,default,/home/amirthalingam/edge_cloud_ml/dnn-noc-sim/results/traces/lenet_trace.txt,"80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80",True,255,39.6148,0.0242891,4.6244,/home/amirthalingam/edge_cloud_ml/dnn-noc-sim/results/lenet/configs/torus_rfdefault_vbdefault_ps4_r0p006_s3.cfg,/home/amirthalingam/edge_cloud_ml/dnn-noc-sim/results/lenet/logs/torus_rfdefault_vbdefault_ps4_r0p006_s3.log
torus,0.006,4,4,default,default,/home/amirthalingam/edge_cloud_ml/dnn-noc-sim/results/traces/lenet_trace.txt,"80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80",True,255,37.6781,0.0243086,4.55488,/home/amirthalingam/edge_cloud_ml/dnn-noc-sim/results/lenet/configs/torus_rfdefault_vbdefault_ps4_r0p006_s4.cfg,/home/amirthalingam/edge_cloud_ml/dnn-noc-sim/results/lenet/logs/torus_rfdefault_vbdefault_ps4_r0p006_s4.log
torus,0.006,5,4,default,default,/home/amirthalingam/edge_cloud_ml/dnn-noc-sim/results/traces/lenet_trace.txt,"80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80",True,255,39.8985,0.0237891,4.63326,/home/amirthalingam/edge_cloud_ml/dnn-noc-sim/results/lenet/configs/torus_rfdefault_vbdefault_ps4_r0p006_s5.cfg,/home/amirthalingam/edge_cloud_ml/dnn-noc-sim/results/lenet/logs/torus_rfdefault_vbdefault_ps4_r0p006_s5.log
