# phase src dst weight
0 0 0 31.35000000
0 0 4 30.75000000
0 0 8 30.75000000
0 0 12 30.75000000
0 1 1 0.60000000
0 2 2 0.60000000
0 3 3 0.60000000
0 4 4 0.60000000
0 5 5 0.60000000
0 6 6 0.60000000
0 7 1 30.75000000
0 7 5 30.75000000
0 7 7 0.60000000
0 7 9 30.75000000
0 7 13 30.75000000
0 8 8 0.60000000
0 9 9 0.60000000
0 10 10 0.60000000
0 11 11 0.60000000
0 12 12 0.60000000
0 13 13 0.60000000
0 14 14 0.60000000
0 15 15 0.60000000
0 56 2 30.75000000
0 56 6 30.75000000
0 56 10 30.75000000
0 56 14 30.75000000
0 63 3 30.75000000
0 63 7 30.75000000
0 63 11 30.75000000
0 63 15 30.75000000
1 0 48 30.75000000
1 0 52 30.75000000
1 0 56 30.75000000
1 0 60 30.75000000
1 7 49 30.75000000
1 7 53 30.75000000
1 7 57 30.75000000
1 7 61 30.75000000
1 48 48 0.60000000
1 49 49 0.60000000
1 50 50 0.60000000
1 51 51 0.60000000
1 52 52 0.60000000
1 53 53 0.60000000
1 54 54 0.60000000
1 55 55 0.60000000
1 56 50 30.75000000
1 56 54 30.75000000
1 56 56 0.60000000
1 56 58 30.75000000
1 56 62 30.75000000
1 57 57 0.60000000
1 58 58 0.60000000
1 59 59 0.60000000
1 60 60 0.60000000
1 61 61 0.60000000
1 62 62 0.60000000
1 63 51 30.75000000
1 63 55 30.75000000
1 63 59 30.75000000
1 63 63 31.35000000
2 0 32 30.75000000
2 0 36 30.75000000
2 0 40 30.75000000
2 0 44 30.75000000
2 7 33 30.75000000
2 7 37 30.75000000
2 7 41 30.75000000
2 7 45 30.75000000
2 32 32 0.60000000
2 33 33 0.60000000
2 34 34 0.60000000
2 35 35 0.60000000
2 36 36 0.60000000
2 37 37 0.60000000
2 38 38 0.60000000
2 39 39 0.60000000
2 40 40 0.60000000
2 41 41 0.60000000
2 42 42 0.60000000
2 43 43 0.60000000
2 44 44 0.60000000
2 45 45 0.60000000
2 46 46 0.60000000
2 47 47 0.60000000
2 56 34 30.75000000
2 56 38 30.75000000
2 56 42 30.75000000
2 56 46 30.75000000
2 63 35 30.75000000
2 63 39 30.75000000
2 63 43 30.75000000
2 63 47 30.75000000
3 0 16 30.75000000
3 0 20 30.75000000
3 0 24 30.75000000
